id,image_url,thumb_url,category,color,stone,finish,surrounding,caption,tags,headstone
IMG0001,https://lumargo.pl/wp-content/uploads/2023/02/IMG_50851-768x1024-1.jpg,,blaty,czarny,granite,polerowany,Ujęcie przedstawia nowoczesną łazienkę z eleganckim blatem.,"Elegancki czarny blat granitowy, idealny do nowoczesnych wnętrz.","blaty granitowe, nowoczesny design, polerowany kamień",nan
IMG0002,https://lumargo.pl/wp-content/uploads/2023/02/IMG_0230-1920x1440.jpeg,,blaty,"czarny, biały",marmur,polerowany,Wnętrze nowoczesnej kuchni z marmurowymi blatami.,"Eleganckie blaty marmurowe, które dodają stylu każdemu wnętrzu.","blaty marmurowe, nowoczesny design, kuchnia, wykończenie, stylowe wnętrze",nan
IMG0003,https://lumargo.pl/wp-content/uploads/2023/02/IMG_0227-1920x1440.jpeg,,blaty,"czarny, biały",granit,polerowany,Zdjęcie przedstawia nowoczesną kuchnię z blatem kamiennym.,"Elegancki blat kamienny, idealny do nowoczesnych wnętrz.","blaty kamienne, nowoczesny design, granitowy blat, kuchnia, wykończenie",nan
IMG0004,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5358-1024x768-1.jpg,,blaty,czarny,granite,polished,Blat kuchenny w nowoczesnym wnętrzu.,"Elegancki czarny granit, idealny do nowoczesnych kuchni.","blat granitowy, nowoczesny design, wykończenie polerowane",nan
IMG0005,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5355-1024x768-1-rotated.jpg,,blaty,"czarny, biały",nan,nan,Nowoczesna kuchnia z eleganckim blatem.,"Stylowy blat, który odmieni Twoją kuchnię.","nowoczesny design, elegancki blat, kuchnia, stylowe wnętrze",nan
IMG0006,https://lumargo.pl/wp-content/uploads/2023/02/IMG_4155-1920x1440.jpg,,blaty,"beżowy, brązowy",granite,polerowany,Zdjęcie przedstawia blat kuchenny w nowoczesnym wnętrzu.,"Elegancki blat granitowy, idealny do każdej kuchni.","blat kuchenny, granite, nowoczesny, polerowany, design",nan
IMG0007,https://lumargo.pl/wp-content/uploads/2023/02/IMG_3438-1920x1440.jpg,,blaty,szary,nan,matowy,Blat kuchenny w nowoczesnym wnętrzu.,"Elegancki szary blat, idealny do nowoczesnych kuchni.","blat kuchenny, nowoczesny design, matowe wykończenie, szary kolor",nan
IMG0008,https://lumargo.pl/wp-content/uploads/2023/02/IMG_3434-2-1920x1440.jpg,,blaty,szary,nan,nan,Zdjęcie przedstawia nowoczesną kuchnię z wyspą.,"Elegancka wyspa kuchenna, idealna do nowoczesnych wnętrz.","nowoczesna kuchnia, wyspa kuchenna, design wnętrz, szary kolor, styl minimalistyczny",nan
IMG0009,https://lumargo.pl/wp-content/uploads/2023/02/IMG_3239-1024x768-1.jpg,,blaty,czarny,granite,polerowany,Blat umieszczony w nowoczesnej łazience z eleganckimi akcentami.,"Elegancki czarny blat granitowy, idealny do nowoczesnych wnętrz.","blat granitowy, nowoczesny design, polerowane wykończenie",nan
IMG0010,https://lumargo.pl/wp-content/uploads/2023/02/FB_IMG_1424029137124.jpg,,blaty,czarny,granite,polerowany,Nowoczesna kuchnia z czarnym blatem granitowym.,"Elegancki czarny blat granitowy, idealny do nowoczesnych wnętrz.","blaty granitowe, nowoczesny design, kuchnia, wykończenie, elegancja",nan
IMG0011,https://lumargo.pl/wp-content/uploads/2023/02/DSC03744-1024x681-2.jpg,,blaty,czarny,granite,polerowany,Blat kuchenny w nowoczesnym wnętrzu.,"Elegancki czarny granit, idealny do nowoczesnych kuchni.","blaty granitowe, nowoczesny design, polerowany kamień, kuchnia, elegancki wystrój",nan
IMG0012,https://lumargo.pl/wp-content/uploads/2023/02/DSC03731-1024x681-1.jpg,,blaty,czarny,granit,polerowany,Zdjęcie przedstawia nowoczesną kuchnię z czarnym blatem.,"Elegancki czarny granit, idealny do nowoczesnych wnętrz.","blaty granitowe, nowoczesny design, kuchnia, wykończenie, polerowany",nan
IMG0013,https://lumargo.pl/wp-content/uploads/2023/02/DSC03724.jpg,,blaty,czarny,granite,polished,Nowoczesna kuchnia z eleganckim blatem granitowym.,"Elegancki granit, który doda blasku Twojej kuchni.","blaty granitowe, nowoczesny design, kuchnia, wykończenie, elegancja",nan
IMG0014,https://lumargo.pl/wp-content/uploads/2023/02/blat-konglomerat.jpg,,blaty,"beżowy, brązowy",konglomerat,polerowany,Zdjęcie przedstawia nowoczesną kuchnię z blatem konglomeratowym.,"Elegancki blat konglomeratowy, idealny do nowoczesnych wnętrz.","blat kuchenny, nowoczesny design, materiały wysokiej jakości, stylowe wykończenie",nan
IMG0015,https://lumargo.pl/wp-content/uploads/2023/02/20121208960-1024x691-1.jpg,,blaty,szary,granite,polerowany,Blat kuchenny w nowoczesnym wnętrzu.,"Elegancki blat granitowy, idealny do każdej kuchni.","blat granitowy, nowoczesny design, wykończenie polerowane, kuchnia, trwałość",nan
IMG0016,https://lumargo.pl/wp-content/uploads/2023/02/FB_IMG_1619281793749.jpg,,blaty,czarny,granite,polerowany,Zdjęcie przedstawia nowoczesną kuchnię z czarnym blatem.,"Elegancki czarny blat, idealny do nowoczesnych wnętrz.","czarny blat, granite, nowoczesna kuchnia, polerowany, design",nan
IMG0017,https://lumargo.pl/wp-content/uploads/2023/02/FB_IMG_1619281770390.jpg,,blaty,szary,nan,nan,Blat kamienny w nowoczesnej kuchni.,"Elegancki szary blat, idealny do nowoczesnych wnętrz.","blat kamienny, nowoczesny design, kuchnia, szary kolor, wykończenie",nan
IMG0018,https://lumargo.pl/wp-content/uploads/2023/02/FB_IMG_1619281767211.jpg,,blaty,"szary, biały",marmur,polerowany,Zdjęcie przedstawia nowoczesną kuchnię z marmurowymi blatami.,"Eleganckie blaty marmurowe, które dodają klasy każdej kuchni.","blaty marmurowe, nowoczesny design, kuchnia, wykończenie, elegancja",nan
IMG0019,https://lumargo.pl/wp-content/uploads/2023/02/20210325_170557-1920x2560.jpg,,blaty,szary,nan,nan,Zdjęcie przedstawia nowoczesną kuchnię w trakcie wykończenia.,"Eleganckie blaty kuchenne, które dodają stylu każdemu wnętrzu.","nowoczesne wnętrze, blaty kuchenne, szary kolor, stylowe wykończenie",nan
IMG0020,https://lumargo.pl/wp-content/uploads/2023/02/20201029_151440-1920x909.jpg,,blaty,czarny,granite,polerowany,Blat kuchenny w nowoczesnej aranżacji.,Elegancki czarny granit idealny do nowoczesnych wnętrz.,"blat kuchenny, granite, nowoczesny, polerowany, design",nan
IMG0021,https://lumargo.pl/wp-content/uploads/2023/02/20200614_110741-1920x1400.jpg,,blaty,szary,granite,polerowany,Blat kamienny w nowoczesnej łazience.,"Elegancki granitowy blat, idealny do nowoczesnych wnętrz.","blat granitowy, nowoczesny design, wykończenie polerowane, szary kolor",nan
IMG0022,https://lumargo.pl/wp-content/uploads/2023/02/20200612_145742-1920x909.jpg,,blaty,czarny,granite,polished,Blat umywalkowy w nowoczesnej łazience.,"Elegancki czarny granit, idealny do nowoczesnych wnętrz.","blat granitowy, nowoczesny design, wykończenie polerowane",nan
IMG0023,https://lumargo.pl/wp-content/uploads/2023/02/PicsArt_1411843364262-768x1024-1.jpg,,schody,beżowy,marmur,polerowany,Schody wykonane z marmuru w nowoczesnym wnętrzu.,"Eleganckie schody marmurowe, które dodają klasy każdemu wnętrzu.","schody marmurowe, wykończenie wnętrz, design, elegancja",nan
IMG0024,https://lumargo.pl/wp-content/uploads/2023/02/PicsArt_1411843196080.jpg,,schody,beżowy,marmur,polerowany,Schody wykonane z marmuru w nowoczesnym wnętrzu.,"Eleganckie schody marmurowe, które dodają klasy każdemu wnętrzu.","schody marmurowe, wykończenie wnętrz, design, elegancja",nan
IMG0025,https://lumargo.pl/wp-content/uploads/2023/02/IMG_20131115_053514-1920x1405.jpg,,schody,brązowy,granite,polerowany,"Schody prowadzą do wejścia domu, otoczone roślinnością.","Eleganckie schody granitowe, które dodają uroku każdemu wejściu.","schody granitowe, wykończenie polerowane, brązowy kamień, stylowe wejście",nan
IMG0026,https://lumargo.pl/wp-content/uploads/2023/02/IMG_20131020_045140-1024x681-1.jpg,,schody,"beżowy, szary",granite,polerowany,Schody prowadzą do wejścia do budynku.,"Eleganckie schody z granitu, które dodają stylu każdemu wejściu.","schody granitowe, wykończenie polerowane, stylowe wejście",nan
IMG0027,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5823-1024x768-1.jpg,,schody,czarny,granit,polerowany,Widok na eleganckie schody prowadzące do nowoczesnego budynku.,"Stylowe schody granitowe, które dodają elegancji każdemu wejściu.","schody granitowe, nowoczesny design, wykończenie polerowane, eleganckie wejście",nan
IMG0028,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5821-1920x1440.jpg,,schody,czarny,granite,polerowany,Ujęcie przedstawia schody z granitu w nowoczesnym otoczeniu.,"Eleganckie schody granitowe, które dodają stylu każdemu wejściu.","schody granitowe, nowoczesny design, wykończenie polerowane, eleganckie wejście",nan
IMG0029,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5338-1024x768-1-rotated.jpg,,schody,szary,granit,polerowany,Schody wykonane z granitu w nowoczesnym wnętrzu.,"Eleganckie schody granitowe, które dodają stylu każdemu wnętrzu.","schody granitowe, nowoczesny design, wykończenie polerowane, eleganckie wnętrza",nan
IMG0030,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5223-1024x768-1-rotated.jpg,,schody,beżowy,granite,polerowany,Schody wewnętrzne z granitu w nowoczesnym wnętrzu.,"Eleganckie schody granitowe, które dodają stylu każdemu wnętrzu.","schody granitowe, wykończenie polerowane, wnętrza nowoczesne, kamień naturalny",nan
IMG0031,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5091-768x1154-1.jpg,,schody,beżowy,granite,polerowany,Schody w nowoczesnym wnętrzu z subtelnym oświetleniem.,"Eleganckie schody z granitu, które dodają stylu każdemu wnętrzu.","schody granitowe, nowoczesne wykończenie, eleganckie wnętrze, polerowany kamień",nan
IMG0032,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5090.jpg,,schody,beżowy,nan,nan,Schody spiralne w nowoczesnym wnętrzu.,"Eleganckie schody spiralne, które dodają stylu każdemu wnętrzu.","schody spiralne, nowoczesne wnętrze, design, styl, kamień",nan
IMG0033,https://lumargo.pl/wp-content/uploads/2023/02/IMG_5089-682x1024-1.jpg,,schody,zielony,nan,nan,Schody spiralne w nowoczesnym wnętrzu.,"Eleganckie schody, które dodają stylu każdemu wnętrzu.","schody spiralne, nowoczesne wnętrze, design, styl, kamień",nan
IMG0034,https://lumargo.pl/wp-content/uploads/2023/02/IMG_4298-1920x1440.jpg,,schody,szary,granite,polerowany,Ujęcie przedstawia eleganckie schody w nowoczesnym ogrodzie.,"Stylowe schody granitowe, które dodają elegancji każdemu otoczeniu.","schody granitowe, nowoczesny design, wykończenie polerowane, ogrodowe schody",nan
IMG0035,https://lumargo.pl/wp-content/uploads/2023/02/IMG_4284-edytowany-768x1024-1.jpg,,schody,szary,granite,polerowany,Schody spiralne w nowoczesnym otoczeniu ogrodu.,"Eleganckie schody granitowe, które dodają stylu każdemu wnętrzu.","schody granitowe, nowoczesny design, polerowany kamień, spiralne schody",nan
IMG0036,https://lumargo.pl/wp-content/uploads/2023/02/DSC03751.jpg,,schody,czarny,granite,polerowany,Schody znajdują się w nowoczesnym wnętrzu z dużymi oknami.,"Eleganckie schody z granitu, które dodają stylu każdemu wnętrzu.","schody granitowe, nowoczesny design, wykończenie polerowane",nan
IMG0037,https://lumargo.pl/wp-content/uploads/2023/02/DSC03746.jpg,,schody,czarny,granite,polerowany,Schody z podświetleniem w nowoczesnym wnętrzu.,"Eleganckie schody z granitu, które dodają blasku każdemu wnętrzu.","schody granitowe, nowoczesne wykończenie, podświetlenie, design wnętrz",nan
IMG0038,https://lumargo.pl/wp-content/uploads/2023/02/DSC02391-790x1024-1.jpg,,schody,"czarny, szary",granite,polerowany,Schody prowadzą do wejścia do budynku.,"Eleganckie schody z granitu, które dodają stylu każdemu wejściu.","schody granitowe, polerowany kamień, nowoczesny design, wejście do domu",nan
IMG0039,https://lumargo.pl/wp-content/uploads/2023/02/DSC02384-774x1024-1.jpg,,schody,"czarny, szary",granit,polerowany,"Schody prowadzą do drzwi wejściowych, otoczone kamiennym murem.","Eleganckie schody granitowe, które dodają charakteru każdemu wejściu.","schody granitowe, wykończenie polerowane, styl nowoczesny",nan
IMG0040,https://lumargo.pl/wp-content/uploads/2023/02/DSC_2203-1024x680-1.jpg,,schody,brązowy,nan,nan,Zdjęcie przedstawia schody przed wejściem do sklepu.,"Eleganckie schody, które łączą styl z funkcjonalnością.","schody, brązowy kolor, stylowe wejście, design, architektura",nan
IMG0041,https://lumargo.pl/wp-content/uploads/2023/02/DSC_1122-1024x680-1.jpg,,schody,czarny,granite,polerowany,Schody spiralne wykonane z granitu w nowoczesnym wnętrzu.,"Eleganckie schody granitowe, które dodają klasy każdemu wnętrzu.","schody granitowe, nowoczesny design, wykończenie polerowane, eleganckie wnętrze",nan
IMG0042,https://lumargo.pl/wp-content/uploads/2023/02/DSC_1114-1024x680-1.jpg,,schody,"czarny, beżowy",granite,polerowany,Schody wykonane z granitu w nowoczesnym wnętrzu.,"Eleganckie schody granitowe, które dodają klasy każdemu wnętrzu.","schody granitowe, nowoczesne wnętrze, polerowany granit, design, elegancja",nan
IMG0043,https://lumargo.pl/wp-content/uploads/2023/02/DSC_00822-1024x690-1.jpg,,schody,"beżowy, szary",nan,nan,"Schody wykonane z kamienia, w nowoczesnym wnętrzu.","Eleganckie schody, które dodają stylu każdemu wnętrzu.","schody kamienne, nowoczesne wnętrze, design, elegancja",nan
IMG0044,https://lumargo.pl/wp-content/uploads/2023/02/20120628760-1024x491-1.jpg,,schody,czarny,granite,polerowany,"Schody prowadzą do wejścia budynku, otoczone zielenią.","Eleganckie schody granitowe, które dodają charakteru każdemu wejściu.","schody granitowe, polerowany kamień, elegancki design, wejście do domu",nan
IMG0045,https://lumargo.pl/wp-content/uploads/2023/02/20111105468-1024x574-1.jpg,,schody,szary,granite,polerowany,Schody znajdują się przy wejściu do budynku.,"Eleganckie schody z granitu, idealne do każdego domu.","schody granitowe, wykończenie polerowane, elegancki design",nan
IMG0046,https://lumargo.pl/wp-content/uploads/2023/02/20141029_121439-1024x768-1.jpg,,schody,beżowy,granite,polerowany,"Schody prowadzą do wejścia domu, otoczone roślinami.","Eleganckie schody z granitu, które dodają uroku każdemu wejściu.","schody granitowe, wykończenie polerowane, elegancki design",nan
IMG0047,https://lumargo.pl/wp-content/uploads/2023/02/20140812_075623-1024x768-1.jpg,,schody,brązowy,granite,polerowany,"Schody prowadzą do wejścia domu, otoczone kwiatami.","Eleganckie schody z granitu, które dodają uroku każdemu wejściu.","schody granitowe, wykończenie polerowane, brązowy kamień",nan
IMG0048,https://lumargo.pl/wp-content/uploads/2023/02/20140812_075548-1024x768-1-rotated.jpg,,schody,brązowy,nan,nan,"Schody prowadzą do wejścia domu, otoczone zielenią.","Eleganckie schody, które dodają uroku każdemu wejściu.","schody z kamienia, brązowe schody, stylowe wejście",nan
IMG0049,https://lumargo.pl/wp-content/uploads/2023/02/20140716_195539-1024x768-1.jpg,,schody,różowy,granit,polerowany,"Schody prowadzą do wejścia domu, otoczone zielenią.","Eleganckie schody granitowe, które dodają uroku każdemu wejściu.","schody granitowe, polerowany granit, elegancki design, wykończenie domu",nan
IMG0050,https://lumargo.pl/wp-content/uploads/2023/02/13413584_1030093647044111_3614185053121733920_n1.jpg,,schody,"beżowy, brązowy",granite,polerowany,Schody spiralne w nowoczesnym wnętrzu.,"Eleganckie schody granitowe, które dodają stylu każdemu wnętrzu.","schody granitowe, nowoczesne wnętrze, wykończenie kamienia, design, styl",nan
IMG0051,https://lumargo.pl/wp-content/uploads/2023/02/13406837_1030093973710745_6729692610601156524_n1.jpg,,schody,"beżowy, brązowy",nan,nan,Schody w nowoczesnym wnętrzu z jasnymi ścianami.,"Eleganckie schody, które dodają charakteru każdemu wnętrzu.","schody, wnętrze, kamień, design, nowoczesny",nan
IMG0052,https://lumargo.pl/wp-content/uploads/2023/02/12670093_956255684427908_6466663105014805059_n.jpg,,schody,biały,marmur,polerowany,Schody wykonane z marmuru w nowoczesnym wnętrzu.,"Eleganckie schody z marmuru, które dodają klasy każdemu wnętrzu.","schody marmurowe, wykończenie wnętrz, design nowoczesny",nan
IMG0053,https://lumargo.pl/wp-content/uploads/2023/02/12592462_956270881093055_36710670501952930_n.jpg,,schody,czarny,marmur,polerowany,Schody znajdują się w nowoczesnym wnętrzu.,Eleganckie schody z polerowanego marmuru w czarnym kolorze.,"schody marmurowe, nowoczesne wnętrze, polerowany kamień",nan
IMG0054,https://lumargo.pl/wp-content/uploads/2023/02/12191798_911167962270014_7407140072113976892_n.jpg,,schody,szary,granite,polerowany,Schody spiralne wykonane z granitu w nowoczesnym wnętrzu.,"Eleganckie schody granitowe, które dodają stylu każdemu wnętrzu.","schody granitowe, nowoczesny design, wykończenie polerowane, eleganckie wnętrze",nan
IMG0055,https://lumargo.pl/wp-content/uploads/2023/02/12118718_911168402269970_7132772255963521728_n.jpg,,schody,szary,granite,polerowany,"Schody otoczone są zielenią i wodą, tworząc harmonijną przestrzeń.","Eleganckie schody z granitu, idealne do każdego ogrodu.","schody granitowe, wykończenie polerowane, architektura ogrodowa",nan
IMG0056,https://lumargo.pl/wp-content/uploads/2023/02/12049507_911167642270046_6136322107610323421_n.jpg,,schody,szary,nan,nan,Ujęcie przedstawia eleganckie schody w otoczeniu zieleni i wody.,"Stylowe schody, które dodają elegancji każdemu otoczeniu.","schody, kamień, design, architektura, otoczenie",nan
IMG0057,https://lumargo.pl/wp-content/uploads/2023/02/11898624_886279311425546_6731288851351206666_n.jpg,,schody,czarny,granit,polerowany,"Schody prowadzą do wejścia domu, otoczone nowoczesnym wykończeniem.","Eleganckie schody granitowe, które dodają stylu każdemu wejściu.","schody granitowe, nowoczesne wykończenie, stylowe wejście",nan
IMG0058,https://lumargo.pl/wp-content/uploads/2023/02/11813283_874758439244300_5371808847417895271_n.jpg,,schody,szary,granite,polerowany,Schody wykonane z granitu w eleganckim otoczeniu.,"Eleganckie schody granitowe, które dodają klasy każdemu wnętrzu.","schody granitowe, wykończenie polerowane, elegancki design",nan
IMG0059,https://lumargo.pl/wp-content/uploads/2023/02/11229972_874758335910977_4958273058395771745_n.jpg,,schody,szary,marmur,polerowany,"Schody prowadzą do wejścia domu, otoczone zielenią.","Eleganckie schody z marmuru, idealne do każdego domu.","schody marmurowe, wykończenie polerowane, design zewnętrzny, elegancka architektura",nan
IMG0060,https://lumargo.pl/wp-content/uploads/2023/02/11215109_830498360336975_2052675920085661006_n.jpg,,schody,"różowy, beżowy",granite,polished,Schody prowadzą do wejścia do budynku mieszkalnego.,"Eleganckie schody granitowe, które dodają uroku każdemu wejściu.","schody granitowe, wykończenie, elegancki design, trwałość, stylowe wejście",nan
IMG0061,https://lumargo.pl/wp-content/uploads/2023/02/11209393_830133573706787_9102926796790817990_n.jpg,,schody,szary,granite,polerowany,Schody prowadzą do nowoczesnego wejścia domu.,"Eleganckie schody granitowe, które dodają stylu każdemu wejściu.","schody granitowe, nowoczesny design, wykończenie polerowane, trwałość, stylowe wejście",nan
IMG0062,https://lumargo.pl/wp-content/uploads/2023/02/10396295_830132907040187_608260213407258714_n.jpg,,schody,szary,granite,polerowany,Schody znajdują się przy wejściu do budynku mieszkalnego.,"Eleganckie schody granitowe, które dodają stylu każdemu wejściu.","schody granitowe, wykończenie polerowane, stylowe wejście",nan
